rating,date,comment,raw_word_count,language,clean_comment,year_month,clean_word_count,subjectivity_score
8,2017-12-23,"As much as I liked movies like Toy Story and Finding Nemo, it made me curious about other CGI animated movies. I didn't actually see this movie in theaters, but I did rent it and was pleasantly surprised. Not everything is in black and white in this movie, and various stereotypes are broken. And things are not always what they seem. I loved the main characters and they all get my standing ovation. This, along with Wreck-It Ralph and Big Hero 6 are my favorites of the non-Pixar Disney CGI films. If you like anthro animals and want to see them in a somewhat modern setting with no humans, look no further!",112,en,much liked movie like toy story finding nemo made curious cgi animated movie actually see movie theater rent pleasantly surprised everything black white movie various stereotype broken thing always seem loved main character get standing ovation along wreck ralph big hero favorite non pixar disney cgi film like anthro animal want see somewhat modern setting human look,2017-12,57,2.9003162323888243
8,2019-09-08,"I surprisingly shocked by how great the story is, and the plot twist was pretty good too.. i didn't expect that comin'...
It also has a good message about diversity and acceptin' each other. It's really a good movie with alot of funny scenes.. and ofc won't forget to mention Shakira' song which was beautiful btw.",56,en,surprisingly shocked great story plot twist pretty good expect comin also good message diversity acceptin really good movie alot funny scene ofc forget mention shakira song beautiful btw,2019-09,28,3.317124642755782
10,2018-08-29,"Zootopia leaves all other Disney 3D animations in the dust. The plot, characters, styling, quality of animation and script are so spot on. I could watch this film a thousand times and not grow bored. If you haven't seen it, stop what you are doing and watch it.",48,en,zootopia leaf disney animation dust plot character styling quality animation script spot could watch film thousand time grow bored seen stop watch,2018-08,22,1.6796655641564675
8,2019-05-02,"""A little bit of kindness goes a long way"" would be a perfect quote for this film.When Judy Hopps, a country rabbit, shoots for her dreams as a part of the police force in Zootopia(Zootropolis), things weren't what she expected it to be. She was forced to face reality for what it truly was. Sound familiar?It may have delivered a couple of messages that people have already heard dozens of times, but that doesn't take away the strength it gives to those who believe that what matters the most is trying to do things right in their lives and in society. I wasn't expecting to find this to be a source of encouragement and inspiration, but that's what it delivered. The ""true"" conflict presented was also as relevant as it was when this film was released. A divide that caused unrest among the ones that should be working towards improving society.One small crutch from the plot was its use of circumstance to move the story along. But overall, this can be overlooked since after all, it isn't only with wits or pure strength alone that would allow a person to find solutions to the problems that they face in their lives.Using cartoons as a medium to convey the kind of messages it did was also a brilliant move on the part of the producer and creators of this film. It would be a good and effective learning material for parents or older people to use to teach young people as a way to prepare and make them understand how the world works.Brilliant movie.",263,en,little bit kindness go long way would perfect quote film judy hopps country rabbit shoot dream part police force zootopia zootropolis thing expected forced face reality truly sound familiar may delivered couple message people already heard dozen time take away strength give believe matter trying thing right life society expecting find source encouragement inspiration delivered true conflict presented also relevant film released divide caused unrest among one working towards improving society one small crutch plot use circumstance move story along overall overlooked since wit pure strength alone would allow person find solution problem face life using cartoon medium convey kind message also brilliant move part producer creator film would good effective learning material parent older people use teach young people way prepare make understand world work brilliant movie,2019-05,128,2.5856464948104785
8,2017-10-10,"This is a wonderful animation film that definitely surprised me! Expecting it to be another average Disney film, I was delighted to find it was not quite so. First of all, the animation is extremely well done which makes the movie enjoyable to watch. The amount of details is astonishing and watching it twice was not a punishment for me. The plot is also surprisingly well thought-of, being funny yet dramatic and it keeps you on your seat while also making you laugh multiple times. Although a city full of anthropomorphic animals that dress and act like humans has been extremely popular since animation existed, I believe this Disney movie takes it to a new level. It really does feel like everything took years to develop as the environment is complex and believable and the animal characters resemble their real-life counterparts remarkably well. It's amazing how they could produce a movie with simple jokes suitable for kids yet still silently addressing real-life issues at the same time. At last, I definitely recommend this movie for the whole family as I deem it enjoyable for all ages.",186,en,wonderful animation film definitely surprised expecting another average disney film delighted find quite first animation extremely well done make movie enjoyable watch amount detail astonishing watching twice punishment plot also surprisingly well thought funny yet dramatic keep seat also making laugh multiple time although city full anthropomorphic animal dress act like human extremely popular since animation existed believe disney movie take new level really feel like everything took year develop environment complex believable animal character resemble real life counterpart remarkably well amazing could produce movie simple joke suitable kid yet still silently addressing real life issue time last definitely recommend movie whole family deem enjoyable age,2017-10,106,2.773164176067193
10,2019-05-13,"Zootopia is a 3D animation movie produced by Walt Disney. Zootopia is a big city over there. Like its name, this city contains all animal characters such a zoo as well. We can find so many animal characters here and of course they bring their own characteristics. They are rabbits, foxes, goats, sheeps, wolfs, lion, sheep, rhinoceros, and any others. And the main character is a bunny or we know it as a rabbit called Judy Hopps. Ya, just a little rabbit who has wanted to be a policewoman since she was child while there was no rabbit be police. There is no matter if the citizen are just rabbits, but the problem is the citizen are not only rabbits but all of animals are over there. There are many big and strong animals such rhinoceros or lions who are more appropriate to be police than just a bunny. She had been underestimated by every one for dreaming to be police, even by her parents. But it was not a problem for her, even she must pass many difficulties, she just kept trying and trying and finally she got appreciation to be the best police since she could finish a mission of a case and found something new on it.1. Animation
The animation moving is very smooth such as another 3D animation movie. The characters are drawn well, suit to their characteristic. We can know directly how is a character's feature even just see them, not watch them. It run a same way when some characters turn characteristic, from good to bad or vice versa, we can know it directly by their expression. It eases children to know how feature of the characters are, so they won't be confused by watching this movie especially when some characters change their appanage. This movie has a beautiful color, contras but still in harmony and it makes gazer, from children to adult, be able to enjoy this movie well.
2. Score
For me, every single sound in this movie is nice, very nice. From the dubbing, sound effect, and of course the sound track. The sound track, Try Everything by Shakira, is very representative that movie and it suits when it played while Judy Hopps was enjoying her journey from her hometown to Zootopia. So, we, as gazer, can enjoy both of picture and the song.
3. Plot twist
This is the most unexpected part of this movie when Mrs. Bellwether changed into a bad character. In the beginning, she was very good and helpful to Judy, but it turned out that she was a mastermind of all of ""disaster"" in the movie. This part gives us some breaks when we have a bit been bored think who is the mastermind of the problem.
4. Moral Value
Same as its soundtrack, this movie reminds us not to give up on everything, just keep trying and trying, trying everything and making something new. Life is all about problems, problems always come and leave. One problem has been solved and another problem will come to us, of course, that's a life. And for facing our problem, just ignore people say for braking our dream, just keep trying and prove that we can do for reaching our dream. And don't be afraid to fall on our journey, believe in ourselves that we can, we can, and we can.
This movie was very impressive to me when I watched in 2016, I was in senior high school. I had a dream that it was very difficult for me at that time. It made me doubt that I could reach my dream. By watching this movie, I cried and created an advice for my own, ""Believe in yourself that you can reach what you want as long as you want to try more, more and more, nothing impossible in this world."" Moreover, the plot twist reminds us for not to ease believing someone and not to judge a book by its cover.For me, this movie has almost no lack. This film is very recommended for watching by everyone, from children to adult, even elderly, because of its own picture and its value. For children who haven't been able to understand the value, they can enjoy the beautiful picture, the cute characters and moments, and of course the song. And for another, they can remind themselves by value of this movi",732,en,zootopia animation movie produced walt disney zootopia big city like name city contains animal character zoo well find many animal character course bring characteristic rabbit fox goat sheep wolf lion sheep rhinoceros others main character bunny know rabbit called judy hopps ya little rabbit wanted policewoman since child rabbit police matter citizen rabbit problem citizen rabbit animal many big strong animal rhinoceros lion appropriate police bunny underestimated every one dreaming police even parent problem even must pas many difficulty kept trying trying finally got appreciation best police since could finish mission case found something new animation animation moving smooth another animation movie character drawn well suit characteristic know directly character feature even see watch run way character turn characteristic good bad vice versa know directly expression eas child know feature character confused watching movie especially character change appanage movie beautiful color contra still harmony make gazer child adult able enjoy movie well score every single sound movie nice nice dubbing sound effect course sound track sound track try everything shakira representative movie suit played judy hopps enjoying journey hometown zootopia gazer enjoy picture song plot twist unexpected part movie mr bellwether changed bad character beginning good helpful judy turned mastermind disaster movie part give u break bit bored think mastermind problem moral value soundtrack movie reminds u give everything keep trying trying trying everything making something new life problem problem always come leave one problem solved another problem come u course life facing problem ignore people say braking dream keep trying prove reaching dream afraid fall journey believe movie impressive watched senior high school dream difficult time made doubt could reach dream watching movie cried created advice believe reach want long want try nothing impossible world moreover plot twist reminds u ease believing someone judge book cover movie almost lack film recommended watching everyone child adult even elderly picture value child able understand value enjoy beautiful picture cute character moment course song another remind value movi,2019-05,326,2.4856503464086472
7,2020-10-29,"A beautiful animation that herds a lot of metaphorical machinations together from beginning to end. The most important messages to me were that you can be whatever you want to be, overcome all barriers presented to you, no matter who or what you are and, all worlds, societies and cultures benefit and become better through diversity, difference and working together. If they'd farmed a few hoomans they could have ticked the climate change box as well (filthy and ignorant beasts that they are).",83,en,beautiful animation herd lot metaphorical machination together beginning end important message whatever want overcome barrier presented matter world society culture benefit become better diversity difference working together farmed hoomans could ticked climate change box well filthy ignorant beast,2020-10,38,2.768607824205722
10,2018-01-09,"How can someone not like this masterpiece!the characters they created are awesome!
the world they created is mindblowing!
the story is good!Everything about this movie is just awesome!",28,en,someone like masterpiece character created awesome world created mindblowing story good everything movie awesome,2018-01,14,4.241126821029471
7,2018-02-13,"Is a movie that you can watch with your family, with great 3D animations.",14,en,movie watch family great animation,2018-02,5,2.292803789857643
7,2016-04-05,"is probably the best way to describe my experience watching Zootopia. First to the short negative bit. The film is both a crowd and a critic pleaser and feels somewhat manufactured in that regard. Having said that, it it very competent in it's aim. The plot is solid and tingles curiosity. The characters are both layered and striking. The visuals are gorgeous and yet rooted. It is wildly entertaining and has a contagious way of handling things. It does not surrender to social or artistic stereotypes. It is a film equally enjoyable for young and old audiences. In short. It's a rarity. I definitely recommend this film. You're going to have a great time.",114,en,probably best way describe experience watching zootopia first short negative bit film crowd critic pleaser feel somewhat manufactured regard said competent aim plot solid tingle curiosity character layered striking visuals gorgeous yet rooted wildly entertaining contagious way handling thing surrender social artistic stereotype film equally enjoyable young old audience short rarity definitely recommend film going great time,2016-04,57,2.6906528999288546
