rating,rating_raw,date,comment,raw_word_count,language,clean_comment,year_month,clean_word_count,subjectivity_score
4.5,★★★★½,2016-03-24,"★★★★½ Watched by lilyymerrell 24 Mar 2016
i love movies with no humans
No likes yet",16,en,watched lilyymerrell mar love movie human like yet,2016-03,8,3.677475150562981
3.5,★★★½,2026-01-21,"★★★½ Watched by Pandafiqz 21 Jan 2026
furry go to kidzania
No likes yet",14,en,watched pandafiqz jan furry go kidzania like yet,2026-01,8,1.9418558274177464
4.0,★★★★,2026-01-20,"★★★★ Watched by wufalo 20 Jan 2026
Good
No likes yet",11,en,watched wufalo jan good like yet,2026-01,6,2.3428262452650177
4.0,★★★★,2026-01-21,"★★★★ Watched by SkyBadger 21 Jan 2026
Easy to watch with good messages around being inclusive.
1 like",18,en,watched skybadger jan easy watch good message around inclusive like,2026-01,10,2.7596249858445967
4.0,★★★★,2026-01-21,"★★★★ Watched by given nsme 21 Jan 2026
nck wilde da mutşgd
No likes yet",15,en,watched given nsme jan nck wilde da mut gd like yet,2026-01,11,2.363640222253982
4.0,★★★★,2026-01-20,"★★★★ Rewatched by alex_venn 20 Jan 2026
So much better than I remembered it
No likes yet",17,en,rewatched alex venn jan much better remembered like yet,2026-01,9,3.6021068552339637
4.5,★★★★½,2026-01-21,"★★★★½ Watched by Adam Zahwan 21 Jan 2026
The song,bateman,city,bateman,jokes,Jason,plot twist is just perfect
No likes yet",17,en,watched adam zahwan jan song bateman city bateman joke jason plot twist perfect like yet,2026-01,15,4.063492414594177
3.5,★★★½,2026-01-20,"★★★½ Watched by Gerard 20 Jan 2026
75/100.
This is a really nice animation movie, very animal friendly. It's cool to see how the city is organized and I wish the surroundings would've been more explored and explained. The city is fantastic. It has a couple of jokes that are good and made me laugh. Nice movie!
No likes yet",60,en,watched gerard jan really nice animation movie animal friendly cool see city organized wish surroundings would explored explained city fantastic couple joke good made laugh nice movie like yet,2026-01,29,5.379134725819123
4.0,★★★★,2026-01-21,"★★★★ Watched by luna 21 Jan 2026
FODA F O D A amassa nick
No likes yet",17,en,watched luna jan foda f amassa nick like yet,2026-01,9,2.0585872815400745
3.5,★★★½,2026-01-21,"★★★½
Watched by Cormac Gibney 21 Jan 2026
I like this movie, I like what it trys to do. I think for the most part it works very well, but there are a few big strikeouts. The twist villian is such an asspull tho Jesus christ
No likes yet",49,en,watched cormac gibney jan like movie like try think part work well big strikeout twist villian asspull tho jesus christ like yet,2026-01,22,2.457955099181236
3.5,★★★½,2026-01-21,"★★★½ Watched by Shewrites 21 Jan 2026
Crazy.
No likes yet",11,en,watched shewrites jan crazy like yet,2026-01,6,1.6585559191351085
3.5,★★★½,2026-01-21,"★★★½ Watched by Dorifto 21 Jan 2026
I didn't think she be so small.
No likes yet",17,en,watched dorifto jan think small like yet,2026-01,7,1.802197808733545
5.0,★★★★★,2026-01-21,"★★★★★ Watched by snoopypieces 21 Jan 2026
seruu my childhood movie
No likes yet",14,en,watched snoopypieces jan seruu childhood movie like yet,2026-01,8,1.8306472680909032
5.0,★★★★★,2026-01-21,"★★★★★
Watched by s4fiyru 21 Jan 2026
I go la la la throughout the movie seeing nick bahahah nagpplay yung sexyback sa utak ko holy airball
kimi! I just go by their saying predators are predators by instinct ittttt ain't their fault they bite ok bye
No likes yet",49,en,watched fiyru jan go la la la throughout movie seeing nick bahahah nagpplay yung sexyback sa utak ko holy airball kimi go saying predator predator instinct ittttt fault bite ok bye like yet,2026-01,33,3.070622162353757
4.5,★★★★½,2026-01-20,"★★★★½ Watched by Zion 20 Jan 2026
It’s insane that I’m watching this for the first time in 2026.. I loved it
No likes yet",25,en,watched zion jan insane watching first time loved like yet,2026-01,10,3.489377059757839
4.0,★★★★,2026-01-20,"★★★★
Watched by angie 20 Jan 2026
1
esto m hace furra?
1 like",14,en,watched angie jan esto hace furra like,2026-01,7,2.4363911238760605
5.0,★★★★★,2026-01-19,"★★★★★
Rewatched by Brandon Santos 19 Jan 2026
It was a fun rewatch. Had our friend Marlene watch it for the first time to prep for the second movie on Wednesday and she too had fallen victim to Nick Wilde…
No likes yet",43,en,rewatched brandon santos jan fun rewatch friend marlene watch first time prep second movie wednesday fallen victim nick wilde like yet,2026-01,21,2.6773407581840396
5.0,★★★★★,2026-01-20,"★★★★★
Rewatched by lina 🍑 20 Jan 2026
Loved this from 2016-2026
10/10 movie
No likes yet",17,en,rewatched lina jan loved movie like yet,2026-01,7,3.8503101723021445
5.0,★★★★★,2026-01-20,"★★★★★
Watched by niki 20 Jan 2026
Is this some kind of narco-state they live in
No likes yet",19,en,watched niki jan kind narco state live like yet,2026-01,9,2.1865086755952996
5.0,★★★★★,2026-01-20,"★★★★★
Watched by Shea Lodriguss 20 Jan 2026
It’s a kids movie with a Breaking Bad reference. This is the peak.
No likes yet",24,en,watched shea lodriguss jan kid movie breaking bad reference peak like yet,2026-01,12,3.428881700837835
3.5,★★★½,2026-01-20,"★★★½ Watched by neensnozzi 20 Jan 2026
So cute!!! 🦊🐰🦒🐘🐆🦏
2 likes",12,en,watched neensnozzi jan cute like,2026-01,5,3.0787214509501126
5.0,★★★★★,2026-01-18,"★★★★★
Rewatched by sannaelena 18 Jan 2026
This review may contain spoilers. I can handle the truth.
No likes yet",20,en,rewatched sannaelena jan review may contain spoiler handle truth like yet,2026-01,11,2.1282654480731606
4.0,★★★★,2026-01-20,"★★★★
Watched by jeff 20 Jan 2026
these movies are the greatest thing ever. i need more immediately
No likes yet",21,en,watched jeff jan movie greatest thing ever need immediately like yet,2026-01,11,3.385823760708239
