rating,rating_raw,date,content
3.5,★★★½,2026-01-18,"★★★½ Watched by Nimajneb_8 18 Jan 2026
The sloth DMV scene adds 1.5 stars to this movie
No likes yet"
4.0,★★★★,2016-03-04,"★★★★ Watched by Ed 04 Mar 2016
As one might expect, the trailers that accompanied Zootopia where almost entirely for animated kids films. Of the trailers, one included a poop joke, one included a pee joke, and one included a pun on the word ""ass."" Give this, I can only include that the marketers for kids films conclude that children and parents are gibbering fools. While Zootopia indicates that we can sometimes be fools, we're well meaning ones who can learn to look beyond our own foolishness,… more
No likes yet"
5.0,★★★★★,2026-01-20,"★★★★★
Watched by zoesinger 20 Jan 2026
Honestly such a good and rewatchable movie for being a kids movie
No likes yet"
4.5,★★★★½,2016-03-12,"★★★★½
Watched by Jordan Schmidt 12 Mar 2016
Conceptually, this is basically a Dreamworks animated movie. An entire town populated by intricately designed animals? Yeah, that's something they'd do. It didn't feel to me like a regular Disney movie, which is why I was so skeptical going in.
I was right. It wasn't a regular Disney movie. This was a movie about some of the most important social issues, taught to kids through the use of cuddly talking animals. This wasn't a Disney movie that talked down to… more
1 like"
3.5,★★★½,2026-01-04,"★★★½ Watched by TigerCod 04 Jan 2026
Good expansion to the lore of world we barely got to explore in the first outing. The universe feels lived in and complex, but understandable by a child. Solid work here.
No likes yet"
3.5,★★★½,2026-01-20,"★★★½ Watched by kuaibergui 20 Jan 2026
This review may contain spoilers. I can handle the truth.
No likes yet"
4.0,★★★★,2016-03-06,"★★★★
Watched by 61eRmovie 06 Mar 2016
This review may contain spoilers. I can handle the truth.


No likes yet"
3.0,★★★,2025-12-19,"★★★ Watched by teresaa 19 Dec 2025
It is so much better than Zootopia 2. I watched it when i was little and it wasn’t my fav childhood movie but i remember i like it a little bit. I loved the song i sang it a lot when i was little.
No likes yet"
4.0,★★★★,2016-02-21,"★★★★
Watched by TaqueroSatanico 21 Feb 2016
Disney va muy bien con sus fábulas modelo siglo XXI. Esto es un thriller policiaco, es sobre diversidad y también es furry. The whole package (?).
Esto no tiene que ver con la película, pero la línea de juguetes es genial. Cómprenme todo.
6 likes"
3.5,★★★½,2026-01-14,"★★★½
Watched by 1au1auu 14 Jan 2026
sympa mais j’ai préf le 2
No likes yet"
4.0,★★★★,2016-02-21,"★★★★
Watched by Tintin 21 Feb 2016
2
This review may contain spoilers. I can handle the truth.







No likes yet"
4.0,★★★★,2026-01-21,"★★★★
Watched by nocturne 21 Jan 2026
hell yeahhh
2 likes"
4.5,★★★★½,2026-01-18,"★★★★½ Watched by Liz 18 Jan 2026
Going to see Zootopia 2 tomorrow and I’ve never seen Zootopia 1 so it was really a now or never situation
No likes yet"
3.0,★★★,2016-03-04,"★★★ Watched by David Kaylor 04 Mar 2016
Zootopia the city has the most magnificent architecture ever and I want to go there.
Zootopia the movie has the least subtle racism message ever and it was overbearing.
It's pretty funny at parts and cute, and there's [sic] likeable characters.
65/100.
No likes yet"
4.0,★★★★,2016-03-05,"★★★★
Watched by atsali 05 Mar 2016
Η σκηνή με τους βραδύποδες είναι η σκηνή του έργου
1 like"
5.0,★★★★★,2016-03-04,"★★★★★ Watched by MovieSamurai 04 Mar 2016
As timely a Disney movie as we're likely to ever get. With Ferguson, crystal-meth addiction, and a running commentary on the history of racism inherent in the U.S. throughout the 20th century, John Lasseter and his creative team have managed to still remain delightful, witty, touching, visually textured, and fast-paced in this very, very fine film for all ages and tastes. It's quite an achievement, worthy of repeated viewings. Yes, it's that good...and deep, too! Could this be the Inside Out of 2016?
1 like"
