word,type,pos,polarity
great,verystrongsubj,adj,positive
like,strongsubj,verb,positive
just,strongsubj,adj,positive
best,verystrongsubj,anypos,positive
really,strongsubj,anypos,neutral
good,strongsubj,adj,positive
love,verystrongsubj,verb,positive
even,strongsubj,anypos,neutral
much,strongsubj,adverb,neutral
better,strongsubj,adj,positive
never,strongsubj,adverb,negative
fun,strongsubj,noun,positive
funny,strongsubj,adj,positive
bad,verystrongsubj,adj,negative
loved,verystrongsubj,verb,positive
amazing,verystrongsubj,adj,positive
real,strongsubj,adj,positive
always,strongsubj,adverb,positive
right,strongsubj,adj,positive
pretty,strongsubj,adverb,positive
perfect,verystrongsubj,adj,positive
actually,strongsubj,adverb,neutral
feel,strongsubj,verb,neutral
nothing,strongsubj,noun,negative
entertaining,strongsubj,adj,positive
original,strongsubj,adj,positive
favorite,verystrongsubj,adj,positive
sure,strongsubj,adj,positive
enjoy,strongsubj,verb,positive
need,strongsubj,noun,neutral
cute,strongsubj,adj,positive
everything,strongsubj,noun,positive
probably,strongsubj,adverb,neutral
quite,strongsubj,adverb,neutral
felt,strongsubj,verb,neutral
interesting,strongsubj,adj,positive
however,strongsubj,adverb,neutral
hard,strongsubj,adj,negative
whole,strongsubj,adj,neutral
seems,strongsubj,verb,neutral
fan,strongsubj,noun,positive
excellent,verystrongsubj,adj,positive
least,strongsubj,anypos,negative
definitely,strongsubj,adj,positive
ever,strongsubj,adverb,positive
almost,strongsubj,adverb,neutral
believe,strongsubj,verb,neutral
nice,strongsubj,adj,positive
especially,strongsubj,adverb,positive
enjoyed,strongsubj,verb,positive
completely,strongsubj,adverb,neutral
simply,strongsubj,adverb,neutral
wonderful,verystrongsubj,adj,positive
yes,strongsubj,anypos,positive
beautiful,verystrongsubj,adj,positive
worth,strongsubj,noun,positive
chemistry,strongsubj,noun,positive
problem,strongsubj,noun,negative
truly,verystrongsubj,adverb,positive
clear,strongsubj,adj,neutral
absolutely,strongsubj,adj,neutral
classic,verystrongsubj,adj,positive
humor,strongsubj,noun,positive
top,strongsubj,noun,positive
TRUE,strongsubj,adj,positive
boring,verystrongsubj,adj,negative
cool,strongsubj,adj,positive
seem,strongsubj,verb,neutral
stupid,verystrongsubj,adj,negative
wrong,strongsubj,adj,negative
depth,strongsubj,noun,positive
hope,strongsubj,verb,positive
sad,strongsubj,adj,negative
fine,strongsubj,adj,positive
laugh,strongsubj,verb,positive
super,verystrongsubj,adj,positive
brilliant,verystrongsubj,adj,positive
certainly,strongsubj,adverb,positive
glad,strongsubj,adj,positive
important,strongsubj,adj,positive
perfectly,verystrongsubj,adverb,positive
surprised,strongsubj,adj,neutral
wish,strongsubj,verb,neutral
must,strongsubj,verb,neutral
strong,strongsubj,adj,positive
enjoyable,strongsubj,adj,positive
sorry,strongsubj,adj,negative
typical,strongsubj,adj,negative
wish,strongsubj,noun,neutral
feeling,strongsubj,noun,neutral
happy,strongsubj,adj,positive
lost,strongsubj,adj,negative
needs,strongsubj,noun,neutral
predictable,strongsubj,adj,negative
dark,strongsubj,adj,negative
easily,strongsubj,adverb,positive
expect,strongsubj,verb,neutral
expected,strongsubj,verb,neutral
interest,strongsubj,noun,positive
joke,strongsubj,noun,positive
liked,strongsubj,verb,positive
poor,strongsubj,adj,negative
unique,strongsubj,adj,positive
awesome,verystrongsubj,adj,positive
care,strongsubj,verb,positive
fantastic,verystrongsubj,adj,positive
quite,strongsubj,adj,neutral
terrible,verystrongsubj,adj,negative
awful,verystrongsubj,adj,negative
clearly,strongsubj,adverb,positive
emotional,strongsubj,adj,neutral
entire,strongsubj,adj,neutral
fast,strongsubj,adj,neutral
hate,verystrongsubj,verb,negative
hilarious,verystrongsubj,adj,positive
impossible,verystrongsubj,adj,negative
miss,strongsubj,verb,negative
obviously,strongsubj,adverb,neutral
please,strongsubj,verb,positive
powerful,verystrongsubj,adj,positive
slow,strongsubj,adj,negative
totally,strongsubj,adverb,neutral
worse,verystrongsubj,adj,negative
cannot,strongsubj,verb,neutral
creative,strongsubj,adj,positive
everyone,strongsubj,noun,neutral
extremely,strongsubj,adverb,neutral
favorite,verystrongsubj,noun,positive
fear,strongsubj,noun,negative
forced,strongsubj,adj,negative
heart,strongsubj,noun,positive
highly,strongsubj,adverb,positive
honestly,strongsubj,adverb,positive
hope,strongsubj,noun,positive
incredible,verystrongsubj,adj,positive
matter,strongsubj,noun,neutral
missed,strongsubj,verb,negative
murder,strongsubj,noun,negative
ok,strongsubj,adj,positive
opinion,strongsubj,noun,neutral
racism,verystrongsubj,noun,negative
smart,strongsubj,adj,positive
somehow,strongsubj,adverb,neutral
special,strongsubj,adj,positive
stunning,verystrongsubj,adj,positive
succeeds,strongsubj,verb,positive
surprise,strongsubj,noun,positive
sweet,strongsubj,adj,positive
touch,strongsubj,verb,positive
tribute,strongsubj,noun,positive
unfortunately,strongsubj,adverb,negative
villain,strongsubj,noun,negative
wanted,strongsubj,verb,neutral
weird,strongsubj,adj,negative
wonder,strongsubj,verb,positive
worse,verystrongsubj,adverb,negative
