rating,date,content
8,"Dec 23, 2017","As much as I liked movies like Toy Story and Finding Nemo, it made me curious about other CGI animated movies. I didn't actually see this movie in theaters, but I did rent it and was pleasantly surprised. Not everything is in black and white in this movie, and various stereotypes are broken. And things are not always what they seem. I loved the main characters and they all get my standing ovation. This, along with Wreck-It Ralph and Big Hero 6 are my favorites of the non-Pixar Disney CGI films. If you like anthro animals and want to see them in a somewhat modern setting with no humans, look no further!"
8,"Sep 8, 2019","I surprisingly shocked by how great the story is, and the plot twist was pretty good too.. i didn't expect that comin'...
It also has a good message about diversity and acceptin' each other. It's really a good movie with alot of funny scenes.. and ofc won't forget to mention Shakira' song which was beautiful btw."
10,"Aug 29, 2018","Zootopia leaves all other Disney 3D animations in the dust. The plot, characters, styling, quality of animation and script are so spot on. I could watch this film a thousand times and not grow bored. If you haven't seen it, stop what you are doing and watch it."
8,"May 2, 2019","""A little bit of kindness goes a long way"" would be a perfect quote for this film.When Judy Hopps, a country rabbit, shoots for her dreams as a part of the police force in Zootopia(Zootropolis), things weren't what she expected it to be. She was forced to face reality for what it truly was. Sound familiar?It may have delivered a couple of messages that people have already heard dozens of times, but that doesn't take away the strength it gives to those who believe that what matters the most is trying to do things right in their lives and in society. I wasn't expecting to find this to be a source of encouragement and inspiration, but that's what it delivered. The ""true"" conflict presented was also as relevant as it was when this film was released. A divide that caused unrest among the ones that should be working towards improving society.One small crutch from the plot was its use of circumstance to move the story along. But overall, this can be overlooked since after all, it isn't only with wits or pure strength alone that would allow a person to find solutions to the problems that they face in their lives.Using cartoons as a medium to convey the kind of messages it did was also a brilliant move on the part of the producer and creators of this film. It would be a good and effective learning material for parents or older people to use to teach young people as a way to prepare and make them understand how the world works.Brilliant movie."
8,"Oct 10, 2017","This is a wonderful animation film that definitely surprised me! Expecting it to be another average Disney film, I was delighted to find it was not quite so. First of all, the animation is extremely well done which makes the movie enjoyable to watch. The amount of details is astonishing and watching it twice was not a punishment for me. The plot is also surprisingly well thought-of, being funny yet dramatic and it keeps you on your seat while also making you laugh multiple times. Although a city full of anthropomorphic animals that dress and act like humans has been extremely popular since animation existed, I believe this Disney movie takes it to a new level. It really does feel like everything took years to develop as the environment is complex and believable and the animal characters resemble their real-life counterparts remarkably well. It's amazing how they could produce a movie with simple jokes suitable for kids yet still silently addressing real-life issues at the same time. At last, I definitely recommend this movie for the whole family as I deem it enjoyable for all ages."
10,"May 13, 2019","Zootopia is a 3D animation movie produced by Walt Disney. Zootopia is a big city over there. Like its name, this city contains all animal characters such a zoo as well. We can find so many animal characters here and of course they bring their own characteristics. They are rabbits, foxes, goats, sheeps, wolfs, lion, sheep, rhinoceros, and any others. And the main character is a bunny or we know it as a rabbit called Judy Hopps. Ya, just a little rabbit who has wanted to be a policewoman since she was child while there was no rabbit be police. There is no matter if the citizen are just rabbits, but the problem is the citizen are not only rabbits but all of animals are over there. There are many big and strong animals such rhinoceros or lions who are more appropriate to be police than just a bunny. She had been underestimated by every one for dreaming to be police, even by her parents. But it was not a problem for her, even she must pass many difficulties, she just kept trying and trying and finally she got appreciation to be the best police since she could finish a mission of a case and found something new on it.1. Animation
The animation moving is very smooth such as another 3D animation movie. The characters are drawn well, suit to their characteristic. We can know directly how is a character's feature even just see them, not watch them. It run a same way when some characters turn characteristic, from good to bad or vice versa, we can know it directly by their expression. It eases children to know how feature of the characters are, so they won't be confused by watching this movie especially when some characters change their appanage. This movie has a beautiful color, contras but still in harmony and it makes gazer, from children to adult, be able to enjoy this movie well.
2. Score
For me, every single sound in this movie is nice, very nice. From the dubbing, sound effect, and of course the sound track. The sound track, Try Everything by Shakira, is very representative that movie and it suits when it played while Judy Hopps was enjoying her journey from her hometown to Zootopia. So, we, as gazer, can enjoy both of picture and the song.
3. Plot twist
This is the most unexpected part of this movie when Mrs. Bellwether changed into a bad character. In the beginning, she was very good and helpful to Judy, but it turned out that she was a mastermind of all of ""disaster"" in the movie. This part gives us some breaks when we have a bit been bored think who is the mastermind of the problem.
4. Moral Value
Same as its soundtrack, this movie reminds us not to give up on everything, just keep trying and trying, trying everything and making something new. Life is all about problems, problems always come and leave. One problem has been solved and another problem will come to us, of course, that's a life. And for facing our problem, just ignore people say for braking our dream, just keep trying and prove that we can do for reaching our dream. And don't be afraid to fall on our journey, believe in ourselves that we can, we can, and we can.
This movie was very impressive to me when I watched in 2016, I was in senior high school. I had a dream that it was very difficult for me at that time. It made me doubt that I could reach my dream. By watching this movie, I cried and created an advice for my own, ""Believe in yourself that you can reach what you want as long as you want to try more, more and more, nothing impossible in this world."" Moreover, the plot twist reminds us for not to ease believing someone and not to judge a book by its cover.For me, this movie has almost no lack. This film is very recommended for watching by everyone, from children to adult, even elderly, because of its own picture and its value. For children who haven't been able to understand the value, they can enjoy the beautiful picture, the cute characters and moments, and of course the song. And for another, they can remind themselves by value of this movi"
7,"Oct 29, 2020","A beautiful animation that herds a lot of metaphorical machinations together from beginning to end. The most important messages to me were that you can be whatever you want to be, overcome all barriers presented to you, no matter who or what you are and, all worlds, societies and cultures benefit and become better through diversity, difference and working together. If they'd farmed a few hoomans they could have ticked the climate change box as well (filthy and ignorant beasts that they are)."
10,"Jan 9, 2018","How can someone not like this masterpiece!the characters they created are awesome!
the world they created is mindblowing!
the story is good!Everything about this movie is just awesome!"
7,"Feb 13, 2018","Is a movie that you can watch with your family, with great 3D animations."
7,"Apr 5, 2016","is probably the best way to describe my experience watching Zootopia. First to the short negative bit. The film is both a crowd and a critic pleaser and feels somewhat manufactured in that regard. Having said that, it it very competent in it's aim. The plot is solid and tingles curiosity. The characters are both layered and striking. The visuals are gorgeous and yet rooted. It is wildly entertaining and has a contagious way of handling things. It does not surrender to social or artistic stereotypes. It is a film equally enjoyable for young and old audiences. In short. It's a rarity. I definitely recommend this film. You're going to have a great time."
