rating,rating_raw,date,content
5,"★★★★★","2026-01-18","★★★★★ Watched by kindabyss 18 Jan 2026 Literalmente una obra maestra No likes yet"
4.5,"★★★★½","2026-01-18","★★★★½ Watched by Javi_ct 18 Jan 2026 SUBLIME No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by Thais Rodrigues 18 Jan 2026 Nunca pensei que fosse shippar uma raposa e uma coelha, mas aqui estamos. No likes yet"
4,"★★★★","2026-01-18","★★★★ Rewatched by maricota 18 Jan 2026 filme foda gosto mto No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Rewatched by toriksy 18 Jan 2026 meu filme favorito ever , td nele é incrível No likes yet"
4.5,"★★★★½","2026-01-14","★★★★½ Rewatched by molly_ainsworth 14 Jan 2026 Its a great film and nobody can convince me otherwise No likes yet"
3,"★★★","2026-01-18","★★★ Watched by swanqufu 18 Jan 2026 Movie made by furries No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by nikkigirl 18 Jan 2026 You come to me on the day I finally watch zootopia ?? No likes yet"
4.5,"★★★★½","2026-01-18","★★★★½ Rewatched by eric 🏓 18 Jan 2026 it’s a rewatch zootopia kind of day 4 likes"
3.5,"★★★½","2026-01-18","★★★½ Watched by george 18 Jan 2026 Animal racists No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Watched by Lucas Leão 18 Jan 2026 Zootopia é uma animação legal e funciona muito bem dentro do que se propõe. Não é um filme grandioso, mas é divertido e envolvente. A trama cria um mistério interessante e te instiga a querer saber o que vai acontecer, os personagens principais são realmente cativantes, e a relação entre a Judy e o Nick funciona muito bem, sendo o coração do filme. É um filme que funciona perfeitamente para crianças, mas também passa uma mensagem bacana sobre preconceito e convivência, sem ser pesado ou pretensioso. No likes yet"
4,"★★★★","2018-02-11","★★★★ Watched by jenny_jlk 11 Feb 2018 Smart, funny, and visually vibrant — a thoughtful and entertaining animated adventure. ★★★★☆ No likes yet"
4,"★★★★","2018-02-11","★★★★ Watched by jenny_jlk 11 Feb 2018 Smart, funny, and visually vibrant — a thoughtful and entertaining animated adventure. ★★★★☆ No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by Jony 18 Jan 2026 Peliculón, primera vez que la veo ahora que ha salido la segunda. Animación muy buena, dinámica y entretenida. En España nombres muy top, Brutus Mascarpone… MVP!, referencias al top manta, Breaking Bad.  Con ganas de ver la segunda. No likes yet"
3,"★★★","2026-01-18","★★★ Watched by mmathilde12 18 Jan 2026 3⭐️ No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by Mavih 18 Jan 2026 smp tive um crush nessa raposa… No likes yet"
4.5,"★★★★½","2026-01-18","★★★★½ Watched by zeehchan 18 Jan 2026 raposa quente No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Watched by Alemack 18 Jan 2026 ""FOI UM DESRESPEITO COMIGO, UM DESRESPEITO COM A MINHA NONA"" No likes yet"
3,"★★★","2026-01-18","★★★ Watched by mariiasb96 18 Jan 2026 la vida real es compleja, sí, Judy No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Watched by Milky 18 Jan 2026 Great movie for kids. No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by Robbie Lagunes 18 Jan 2026 Ja No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Watched by its_chzo3 18 Jan 2026 DINGUERIE !! No likes yet"
3,"★★★","2026-01-17","★★★ Watched by Kira 17 Jan 2026 I think this was even a bit too childish for me but I respect your work PC Hops No likes yet"
4.5,"★★★★½","2026-01-18","★★★★½ Watched by andrea 18 Jan 2026 la cantidad de referencias que tiene esta peli es increíble, dios que peliculón No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by Set 18 Jan 2026 rubah pintar kelinci bodoh No likes yet"
4.5,"★★★★½","2026-01-18","★★★★½ Watched by rainbo2dash 18 Jan 2026 great movie some scenes were cringe but ok No likes yet"
4.5,"★★★★½","2026-01-18","★★★★½ Watched by benkb11 18 Jan 2026 Dessin animé très réussi No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by colazero 18 Jan 2026 NİCK WİLDE THE MAN YOU ARE No likes yet"
3,"★★★","2026-01-18","★★★ Rewatched by GloomyWooomy 18 Jan 2026 why did judy randomly turn racist No likes yet"
4,"★★★★","2026-01-18","★★★★ Rewatched by norahismclovin 18 Jan 2026 of course they just had to cast jason bateman as nick No likes yet"
,"","2026-01-18","Watched by angèle 18 Jan 2026 « est ce qu’elle se compte elle même pour dormir ??🐑🐏🐑🐏🐑🐏🐑🐏🐑🐏 » 1 like"
3.5,"★★★½","2026-01-18","★★★½ Watched by aysu 18 Jan 2026 sardi ya No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by hudson 18 Jan 2026 the animal prison reminds me of a way out No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by aattlauraa 18 Jan 2026 Bem Fixe. No likes yet"
3,"★★★","2026-01-18","★★★ Watched by ramanauc 18 Jan 2026 masa lu pada kalah sm hewan, no offense 🥰 No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by Pepo 18 Jan 2026 w demais o show da shakira No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Rewatched by yangcailinn 18 Jan 2026 i watched zootopia for the first time in summer 2025 and what can i say, the plot twist had my jaw dropped and boy oh boy never would i have thought catching myself liking this movie a LITTLEE bit too much, the way disney managed to make everyone fall for both judy hopps and nick wilde is so crazy, male gaze, female gaze, kids, adults THEY GOT EM ALL. top 10 disney movies oat No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by Vaughn 18 Jan 2026 Never review this but I really love this movie 🙏 No likes yet"
5,"★★★★★","2026-01-18T16:24:02.143Z","★★★★★ Added by ssash 🪷 19 Jan 2026 i honestly forgot the first watch date but i rewatched it some day in december 25 No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by ♱ 18 Jan 2026 the sort of movie you need to watch atleast once in your lifetime No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by Wiggycat 18 Jan 2026 nick wilde No likes yet"
3,"★★★","2026-01-18","★★★ Watched by es4jeii 18 Jan 2026 Tatlış bi animasyon sıkıntıdan izlemiştim iyi gitti 1 like"
3.5,"★★★½","2025-05-14","★★★½ Watched by rom_dtrn 14 May 2025 pas au niveau de cars mais sans doute mon deuxième films d’animation préf No likes yet"
4.5,"★★★★½","2026-01-18","★★★★½ Watched by zedricks 18 Jan 2026 O enredo é bem divertido. Show de bola. No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Watched by hannelie 18 Jan 2026 It's scary because it's new, not cause you're incapable 🥹❤️‍🩹 No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by macaclara 18 Jan 2026 Gente sou fã desse filme, o plot é surreal No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Watched by CDUPLOMB 18 Jan 2026 Je savais pas que les renards étaient si drôle 1 like"
4,"★★★★","2026-01-18","★★★★ Watched by emptypinata 18 Jan 2026 my daughter watches all these movies before i do hahah probably one of the best animated movies of recent years. I’m pretty sure i laughed out loud a time or two No likes yet"
4,"★★★★","2026-01-17","★★★★ Watched by Malinveek 17 Jan 2026 🏙🚅🐰👮🏼‍♀️🚓🎫🦺🥕🍭💸🦊🦁⚖️🐑💻🦥🐭🐻‍❄️❄️🐯🫐🔫 No likes yet"
4.5,"★★★★½","2026-01-18","★★★★½ Watched by slwaes 18 Jan 2026 OKEH BGT judy hops loe my panutan gweh rispek tckk 🤝🏻 No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by mxrrcr 18 Jan 2026 ACAB (All cops are Bunnies) 1 like"
5,"★★★★★","2026-01-18","★★★★★ Watched by maluuizasf 18 Jan 2026 legal No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by nuerewa 18 Jan 2026 ถ้าเป็นอาหารคงเป็นส้มตำ No likes yet"
4,"★★★★","2026-01-17","★★★★ Watched by eliset1495 17 Jan 2026 Feel good, overcome challenges and follow your dreams even if nobody believes in you, follow your heart. Parallels with the godfather with Mr. Big and breaking bad with the night howler lab. No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Rewatched by aycie_watched 18 Jan 2026 try everything?? 1 like"
5,"★★★★★","2026-01-18","★★★★★ Rewatched by abs 18 Jan 2026 best disney film to ever exist No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Watched by SuperKp 18 Jan 2026 Y la tremenda aparición estelar que se marcan Walter White y Jesse Pinkman como carneros en el momento álgido de la película me la explica alguien?? No likes yet"
2.5,"★★½","2026-01-18","★★½ Watched by Luna ✨🌙🏳️‍⚧️ 18 Jan 2026 acab inclou a aquests dos No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Watched by Jordan 18 Jan 2026 This is pretty great. Still cop propaganda though. Points dinged. No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by scarlettakes 18 Jan 2026 mantap banget ege No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by ystozier 18 Jan 2026 que raposa deliciosa No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by wawachu 18 Jan 2026 Domba plot twist No likes yet"
4.5,"★★★★½","2026-01-16","★★★★½ Watched by Joel_YD 16 Jan 2026 Peliculón si em preguntes No likes yet"
4,"★★★★","2026-01-18","★★★★ Rewatched by esljensen 18 Jan 2026 THE GODFATHER SCENE No likes yet"
3.5,"★★★½","2026-01-14","★★★½ Watched by thiagobbraga 14 Jan 2026 Zootopia é uma animação esperta, com personagens carismáticos. A dupla inusitada da coelha e a raposa é um acerto e todo o roteiro segue elementos a cartilha clássica: a heroína retilínea, o parceiro antagônico, a superação, as reviravoltas…. Tudo ali, tudo bem colocado, tudo redondinho. Não é um filme impactante ou emocionante; mas é um ótimo passatempo. No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Rewatched by candy331 18 Jan 2026 I love Nick and Judy so much, such a hilarious feel good movie with an amazing lesson! No likes yet"
4.5,"★★★★½","2026-01-18","★★★★½ Watched by veyll 18 Jan 2026 Çocuklara umut satıyor gibi yapıp, yetişkinlere ayna tutuyor. Asıl sorun kim olduğumuz değil, bizi neye indirgedikleri. Ve bizde buna kanıyoruz aslında her şey çok belli ama gerçek buymuş gibi gösterilir No likes yet"
5,"★★★★★","2026-01-17","★★★★★ Rewatched by emily 17 Jan 2026 absolute cinema. No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Rewatched by Ivy 18 Jan 2026 evie couldnt take her eyes off the damn fox No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by ebrar_6761 18 Jan 2026 asiri nostaljik No likes yet"
4.5,"★★★★½","2025-11-19","★★★★½ Rewatched by MarkoDj 19 Nov 2025 Briliant Zootopia with wonderful animation and story that resembling with the human society, innequality, prejustice, rasizm. Always happy to go back to this film and specially the slot scene. No likes yet"
4.5,"★★★★½","2026-01-17","★★★★½ Watched by gio_b 17 Jan 2026 GRANDE FILME, a coelhinha judy me ensinou muita coisa kkkkkkkkk No likes yet"
4,"★★★★","2026-01-18","★★★★ Rewatched by angela 18 Jan 2026 optimistic lang talaga ako on a facade pero pag inaanalyze ko sarili ko mas di talaga mas pessimist nga ako e kaya sobrang believer talaga ako niyang we cant be everything we want to be kasi nga di naman lahat magaling ??? hahaha eme pero ano edi ayun di naman nga lahat privilege at nabibigyan ng equal opportunities sobrang malas lang na ganon siguro ako kaya ala akong choice sa buhay kundi magpakahopecore na yes i can be anything and… more No likes yet"
3.5,"★★★½","2026-01-17","★★★½ Rewatched by coffee_cass 17 Jan 2026 My main comment is just that I love Jason Bateman in a good role. No likes yet"
3.5,"★★★½","2025-12-25","★★★½ Rewatched by Cassidy 25 Dec 2025 My Dad's family's choice of christmas film No likes yet"
,"","2026-01-18","Watched by ana 18 Jan 2026 esperava muito mais do que me foi entregue No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by stephanie240 18 Jan 2026 *tears in my eyes* I get it now 2 likes"
4.5,"★★★★½","2026-01-18","★★★★½ Watched by gwiz 18 Jan 2026 nick wilde knew exactly what he was doing 👅 No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by cansu 18 Jan 2026 en mukemmel animasyon filmidir aksini diyen olamaz :) No likes yet"
4.5,"★★★★½","2026-01-18","★★★★½ Watched by anton 18 Jan 2026 the godfather scene and flash give me life 1 like"
5,"★★★★★","2026-01-18","★★★★★ Watched by AliakaAli 18 Jan 2026 Hear me out.. No likes yet"
5,"★★★★★","2018-01-11","★★★★★ Rewatched by Fath Diant 11 Jan 2018 ts peak ❤️‍🩹 (i forgot the date again) No likes yet"
2.5,"★★½","2026-01-18","★★½ Watched by JaninaOk 18 Jan 2026 spoko ale animacja zostawia troszke do zyczenia, Postac nicka jest rozwinieta bardzo i jak najabrdziej mi to odpowiada No likes yet"
4,"★★★★","2026-01-18","★★★★ Rewatched by leiruuu 18 Jan 2026 que sean policías le quita estrellas No likes yet"
,"","2026-01-18T14:07:10.165Z","Added by ninji 18 Jan 2026 i actually didnt watch this again i just want to say that the translation from chinese for zootopia is super beast metropolis okay thanjks you can leave now No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by narayyi 18 Jan 2026 rubah dan kelinci digabung jadi…? No likes yet"
3,"★★★","2026-01-18","★★★ Watched by eviejr12 18 Jan 2026 overrated but fire No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by Chantel Hiden-Livingstone 18 Jan 2026 i love children’s films with real issues at the heart !!! No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Watched by luna 18 Jan 2026 che comunque è un film simpatico. (voglio nick wilde) No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by nicolestvdiary 18 Jan 2026 I loved The Godfather reference 🥲 No likes yet"
3,"★★★","2026-01-18","★★★ Watched by axelle_mno 18 Jan 2026 Trop bien, trop drôle, des belles refs j’adore No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by Çaptan 18 Jan 2026 W my lovie🐳 No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Watched by jasmine 18 Jan 2026 Judy Hopps and Nick Wilde might be the main characters but Flash the sloth is the star No likes yet"
3.5,"★★★½","2026-01-18T13:48:22.342Z","★★★½ Added by LiLu08 18 Jan 2026 hear me out the fox 😝 hot lad No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by lalatralala najaaeem 18 Jan 2026 mauuu nonton plissss 🥹 kasih tauu dongg dimana nonton nyaaa ☺ No likes yet"
4,"★★★★","2026-01-18T13:46:19.757Z","★★★★ Added by bytriz 18 Jan 2026 Uma das melhores animações e que me fez torcer para uma raposa e uma coelha ficarem juntas. No likes yet"
4,"★★★★","2026-01-18","★★★★ Rewatched by Kate 18 Jan 2026 i’m sorry it’s just too good No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Watched by smhcktt 18 Jan 2026 Hangover wholesomeness No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Watched by Asma Afrooz 18 Jan 2026 Copaganda ass bunny No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by dnizzlecter 18 Jan 2026 Anne ben bir tilkiye asik oldm.😭😭 No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by GregorVogel 18 Jan 2026 Banger No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Watched by swtworldtour 18 Jan 2026 We should take inspo from zootopia for living No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Watched by Paloma 18 Jan 2026 Se han tenido que hacer tantos fanfics de esto.....escalofríos No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by orangkaya_ 18 Jan 2026 baru kali ini mau sama rubah 😔😔😔 No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by cobalt7ecrin 18 Jan 2026 kesinlikle çok iyidi.Tilki favorim No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Watched by Liamc1997 18 Jan 2026 So is the lion the mayor again or nah No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by haticee 18 Jan 2026 ben bu animasyonu 2025te izleyen bi malım No likes yet"
3.5,"★★★½","2026-01-18","★★★½ Rewatched by kyojinn 18 Jan 2026 judy hops can get it. No likes yet"
4.5,"★★★★½","2026-01-18","★★★★½ Watched by ghinaasls 18 Jan 2026 the assistant mayor already looks sus since day 1 sihhh, love nick that kinda weird but gentle^^ No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by tzitziki 18 Jan 2026 Woah No likes yet"
3.5,"★★★½","2026-01-14","★★★½ Rewatched by Uzsa 14 Jan 2026 Zootopia is a good animated film. The animation is very polished and the characters are endearing. The plot is decent overall. No likes yet"
4,"★★★★","2026-01-15","★★★★ Watched by ishari 15 Jan 2026 i love judy No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by ritika 18 Jan 2026 Welcome back animal farm, I miss you orwell :( 2 likes"
4.5,"★★★★½","2026-01-14","★★★★½ Watched by eshydb 14 Jan 2026 As good as I remembered it! No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by fuseteamangolu 18 Jan 2026 Tilki de tam benlik No likes yet"
4,"★★★★","2023-02-15","★★★★ Watched by Alperen 15 Feb 2023 Animasyonsal No likes yet"
4,"★★★★","2026-01-18","★★★★ Watched by Anakin Oliveira 18 Jan 2026 Já edito No likes yet"
5,"★★★★★","2026-01-18T12:56:01.632Z","★★★★★ Added by Maya_Pinion 18 Jan 2026 Good movie ngl and good twist No likes yet"
5,"★★★★★","2026-01-18","★★★★★ Watched by tataykatelyn 18 Jan 2026 like absolutely No likes yet"
